day_number,date,is_weekend,is_holiday,daily_new_registrations,daily_active_users,daily_labeling_requests,daily_recipe_views,daily_orders_via_app,customer_feedback_score,sales_force_outreach_calls,sap_data_quality_score,market_consolidation_pressure_index,regulatory_update_mentions,app_revenue_share_pct,customer_retention_rate_30d,feature_request_count,traditional_order_volume,new_recipes_added
1,2018-07-01,TRUE,FALSE,31,18,8,45,0,4.5,2,73.2,6.2,0,0.0,0.00,1,118,0
2,2018-07-02,FALSE,FALSE,25,29,15,67,0,4.3,18,73.5,6.5,0,0.0,0.12,2,122,0
3,2018-07-03,FALSE,FALSE,22,41,28,89,1,4.4,22,74.1,7.1,0,0.1,0.18,3,119,3
4,2018-07-04,FALSE,FALSE,17,48,34,112,1,4.2,24,74.8,7.3,1,0.1,0.22,1,125,0
5,2018-07-05,FALSE,FALSE,19,56,42,134,2,4.6,21,75.5,7.0,0,0.2,0.26,2,121,0
6,2018-07-06,FALSE,FALSE,24,67,51,156,2,4.5,15,76.2,6.8,0,0.2,0.31,3,124,0
7,2018-07-07,TRUE,FALSE,11,42,38,98,1,4.2,6,76.8,6.5,0,0.3,0.29,1,128,0
8,2018-07-08,TRUE,FALSE,9,29,21,67,0,4.0,3,77.1,6.3,0,0.3,0.25,0,115,0
9,2018-07-09,FALSE,FALSE,28,78,67,189,3,4.7,26,78.2,7.2,0,0.4,0.38,4,120,0
10,2018-07-10,FALSE,FALSE,31,89,78,234,4,4.6,24,79.5,7.5,0,0.5,0.42,3,117,5
11,2018-07-11,FALSE,FALSE,24,95,82,245,5,4.4,19,80.1,7.2,0,0.6,0.45,2,116,0
12,2018-07-12,FALSE,FALSE,22,104,89,267,5,4.5,16,80.8,7.0,0,0.6,0.48,3,119,0
13,2018-07-13,FALSE,FALSE,26,118,98,289,6,4.3,21,81.4,7.4,0,0.7,0.51,4,123,0
14,2018-07-14,TRUE,FALSE,12,73,67,178,3,4.1,8,82.0,6.8,0,0.8,0.49,2,125,0
15,2018-07-15,TRUE,FALSE,10,58,52,145,2,4.0,5,82.3,6.5,0,0.8,0.45,1,120,0
16,2018-07-16,FALSE,FALSE,32,142,112,345,7,4.5,28,83.1,7.5,0,0.9,0.55,5,121,0
17,2018-07-17,FALSE,FALSE,35,156,125,378,8,4.6,27,83.9,7.8,0,1.0,0.58,4,118,4
18,2018-07-18,FALSE,FALSE,28,169,134,401,9,4.4,22,84.4,7.3,0,1.1,0.61,3,116,0
19,2018-07-19,FALSE,FALSE,23,178,141,423,10,4.5,18,85.0,7.1,1,1.2,0.64,4,114,0
20,2018-07-20,FALSE,FALSE,29,189,152,445,11,4.3,23,85.6,7.6,0,1.3,0.67,5,117,0
21,2018-07-21,TRUE,FALSE,14,123,112,289,6,4.2,9,86.1,7.0,0,1.4,0.65,2,119,0
22,2018-07-22,TRUE,FALSE,11,98,89,234,4,4.1,6,86.4,6.7,0,1.4,0.61,1,122,0
23,2018-07-23,FALSE,FALSE,38,210,178,512,13,4.6,30,87.1,7.8,0,1.5,0.71,6,115,0
24,2018-07-24,FALSE,FALSE,41,234,195,567,15,4.7,29,87.8,8.1,0,1.6,0.74,5,113,0
