day_number,date,is_weekend,is_holiday,daily_new_registrations,daily_active_users,daily_labeling_requests,daily_recipe_views,daily_orders_via_app,customer_feedback_score,sales_force_outreach_calls,sap_data_quality_score,market_consolidation_pressure_index,regulatory_update_mentions,app_revenue_share_pct,customer_retention_rate_30d,feature_request_count,traditional_order_volume,new_recipes_added
301,2019-04-27,TRUE,FALSE,85,2453,2375,5029,208,1.93,12,99.9272,3.31,0,24.78,2.69,6,49,0
302,2019-04-28,TRUE,FALSE,84,2460,2376,5028,208,1.93,11,99.9272,3.37,0,24.81,2.69,6,49,0
303,2019-04-29,FALSE,FALSE,84,2468,2377,5026,208,1.92,12,99.9198,3.42,0,24.84,2.69,6,49,0
304,2019-04-30,FALSE,FALSE,84,2475,2378,5025,208,1.92,12,99.9142,3.48,0,24.87,2.69,6,49,0
305,2019-05-01,FALSE,FALSE,85,2483,2380,5023,208,1.93,12,99.9171,3.53,0,24.90,2.70,6,49,0
306,2019-05-02,FALSE,FALSE,84,2490,2381,5022,208,1.92,12,99.9198,3.58,0,24.93,2.70,6,49,0
307,2019-05-03,FALSE,FALSE,84,2498,2382,5020,208,1.92,11,99.9198,3.64,0,24.96,2.70,6,49,0
308,2019-05-04,TRUE,FALSE,84,2505,2383,5019,208,1.92,12,99.9272,3.69,0,24.99,2.70,6,49,0
309,2019-05-05,TRUE,FALSE,84,2513,2384,5017,208,1.92,11,99.9272,3.75,0,25.02,2.70,6,49,0
310,2019-05-06,FALSE,FALSE,84,2520,2385,5016,208,1.92,12,99.9198,3.80,0,25.05,2.70,6,49,0
311,2019-05-07,FALSE,FALSE,84,2528,2387,5014,208,1.92,12,99.9142,3.85,0,25.08,2.71,6,49,0
312,2019-05-08,FALSE,FALSE,85,2535,2388,5013,208,1.93,12,99.9171,3.91,0,25.11,2.71,6,49,0
313,2019-05-09,FALSE,FALSE,84,2543,2389,5011,208,1.92,12,99.9198,3.96,0,25.14,2.71,6,49,0
314,2019-05-10,FALSE,FALSE,84,2550,2390,5010,208,1.92,11,99.9198,4.01,0,25.17,2.71,6,49,0
315,2019-05-11,TRUE,FALSE,84,2558,2391,5008,208,1.92,12,99.9272,4.07,0,25.20,2.71,6,49,0
316,2019-05-12,TRUE,FALSE,84,2565,2392,5007,208,1.92,11,99.9272,4.12,0,25.23,2.71,6,49,0
317,2019-05-13,FALSE,FALSE,84,2573,2394,5005,208,1.92,12,99.9198,4.18,0,25.26,2.72,6,49,0
318,2019-05-14,FALSE,FALSE,84,2580,2395,5004,208,1.92,12,99.9142,4.23,0,25.29,2.72,6,49,0
319,2019-05-15,FALSE,FALSE,85,2588,2396,5002,208,1.93,12,99.9171,4.28,0,25.32,2.72,6,49,0
320,2019-05-16,FALSE,FALSE,84,2595,2397,5001,208,1.92,12,99.9198,4.34,0,25.35,2.72,6,49,0
321,2019-05-17,FALSE,FALSE,84,2603,2398,4999,208,1.92,11,99.9198,4.39,0,25.38,2.72,6,49,0
322,2019-05-18,TRUE,FALSE,84,2610,2400,4998,208,1.92,12,99.9272,4.44,0,25.41,2.72,6,49,0
323,2019-05-19,TRUE,FALSE,84,2618,2401,4996,208,1.92,11,99.9272,4.50,0,25.44,2.73,6,49,0
324,2019-05-20,FALSE,FALSE,84,2625,2402,4995,208,1.92,12,99.9198,4.55,0,25.47,2.73,6,49,0
325,2019-05-21,FALSE,FALSE,84,2633,2403,4993,208,1.92,12,99.9142,4.60,0,25.50,2.73,6,49,0
